Item Description,Supplier,Supplier Part #,Mfr Part #,Qty,Unit Price,Extended Price
CAP CER 10UF 25V X5R 0805,DigiKey,1276-6454-1-ND,CL21A106KAYNNNG,35,$0.09,$3.12
CAP CER 1UF 16V X5R 0603,DigiKey,1276-1034-1-ND,CL10A105KO8NNNC,10,$0.03,$0.31
RES 10K OHM 1% 1/8W 0603,DigiKey,RNCP0603FTD10K0CT-ND,RNCP0603FTD10K0,40,$0.01,$0.43
CAP CER 0.1UF 50V X7R 0603,DigiKey,1276-CL10B104KB8NNNLCT-ND,CL10B104KB8NNNL,50,$0.02,$0.90
IC REG LINEAR 3.3V 1A SOT-223-3L,DigiKey,4518-AMS1117-3.3CT-ND,AMS1117-3.3,10,$0.20,$2.00
CAP CER 22PF 50V C0G/NP0 0603,DigiKey,399-C0603C220J5GACTUCT-ND,C0603C220J5GACTU,10,$0.07,$0.69
SWITCH TACTILE SPST-NO 0.05A 16V,DigiKey,CKN10504CT-ND,PTS810SJG250SMTR LFS,20,$0.51,$10.14
LED BLUE CLEAR CHIP SMD,DigiKey,160-1646-1-ND,LTST-C190TBKT,10,$0.09,$0.94
RF TXRX MOD BT WIFIU.FL SMD,DigiKey,1965-ESP32-S3-WROOM-1U-N16R8CT-ND,ESP32-S3-WROOM-1U-N16R8,5,$6.56,$32.80
RF TXRX MOD BT WIFI PCB TH SMD,DigiKey,5407-ESP32-C3-MINI-1-H4CT-ND,ESP32-C3-MINI-1-H4,5,$3.28,$16.40
1N5819HW-7-F (Diode 40V 1A SOD-123),LCSC,C82544,1N5819HW-7-F,20,$0.03,$0.59
SK6812 LED Addressable SMD-4P,LCSC,C5378720,SK6812,10,$0.09,$0.87
5.1kΩ ±0.1% 125mW 0805 Ceramic Resistor,LCSC,C2912598,HoAR0805-1/8W-5.1KR-0.1%,20,$0.08,$1.55
200Ω ±0.1% 130mW 0805 Thin Film Resistor,LCSC,C2849095,PTFR0805B200RP9,10,$0.07,$0.73
USB-C Receptacle 16-Pin Right Angle,LCSC,C2765186,TYPE-C 16PIN 2MD(073),20,$0.06,$1.23
ESD5B5.0ST1G ESD Protection,LCSC,C93623,ESD5B5.0ST1G,40,$0.04,$1.45
