Id,Designator,Footprint,Quantity,Designation,Supplier and ref
1,"D11,D5",LEDC1608X35N,2,LTST-C190KGKT,
2,"R14,R13,R12,R11,R10,R8,R7,R4",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,8,10k,
3,"R9,R3",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,2,75,
4,"R6,R5,R2,R1",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,4,5k1,
5,"C21,C19,C17,C16,C13,C10,C9,C7,C4,C2",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,10,0u1F,
6,"C20,C18,C14,C8,C5,C3,C1",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,7,10uF,
7,"C15,C6",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,2,1uF,
8,"C12,C11",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,2,22pF,
9,"U3,U1",SOT229P700X180-4N,2,AMS1117-3.3,
10,"D12,D6",LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,2,SK6812,
11,"D10,D8,D9,D2,D4,D3",TVS_LESD5D5.0CT1G,6,LESD5D5.0CT1G,
12,"SW3,SW4,SW2,SW1",SW_PTS810_SJM_250_SMTR_LFS,4,PTS810_SJM_250_SMTR_LFS,
13,"D7,D1",SOD3715X145N,2,1N5819HW-7-F,
14,U4,XCVR_ESP32-C3-MINI-1-N4,1,ESP32-C3-MINI-1-N4,
15,J3,PinHeader_1x08_P2.54mm_Vertical,1,TFTLCDC3,
16,"J2,J1",HRO_TYPE-C-31-M-12,2,TYPE-C-31-M-12,
17,mouse-bite-3mm-slot,mouse-bite-3mm-slot,1,VAL**,
18,J4,PinHeader_1x08_P2.54mm_Vertical,1,TFTLCDS3,
19,U2,XCVR_ESP32-S3-WROOM-1-N16R2,1,ESP32-S3-WROOM-1-N16R2,
