Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,127.75,-84.14,90,top
C2,0u1F,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,125.24,-84.14,90,top
C3,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,126.5,-77.39,0,top
C4,0u1F,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,126.425,-80.14,0,top
C5,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,121.35,-86.34,180,top
C6,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,132.2375,-73.69,0,top
C7,0u1F,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,118.225,-69.64,0,top
C8,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,117.7,-62.74,90,top
C9,0u1F,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,121.9,-66.29,90,top
C10,0u1F,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,132.2875,-71.54,0,top
C11,22pF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,170.6,-82.541389,-90,top
C12,22pF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,172.6,-82.541389,-90,top
C13,0u1F,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,155.6,-75.691389,0,top
C14,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,158.9,-77.291389,90,top
C15,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,155.6,-78.691389,180,top
C16,0u1F,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,178.925,-59.091389,-90,top
C17,0u1F,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,168.925,-59.091389,-90,top
C18,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,163.05,-71.016389,-90,top
C19,0u1F,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,166.05,-71.016389,-90,top
C20,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,164.4125,-65.591389,180,top
C21,0u1F,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,164.5125,-67.841389,180,top
D1,1N5819HW-7-F,SOD3715X145N,120.55,-89.34,180,top
D2,LESD5D5.0CT1G,TVS_LESD5D5.0CT1G,133.85,-84.7525,-90,top
D3,LESD5D5.0CT1G,TVS_LESD5D5.0CT1G,129.6,-84.84,-90,top
D4,LESD5D5.0CT1G,TVS_LESD5D5.0CT1G,131.75,-84.83,-90,top
D5,LTST-C190KGKT,LEDC1608X35N,124.375,-60.05,0,top
D6,SK6812,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,125.05,-72.04,180,top
D7,1N5819HW-7-F,SOD3715X145N,171.2125,-73.091389,0,top
D8,LESD5D5.0CT1G,TVS_LESD5D5.0CT1G,172.2125,-75.741389,0,top
D9,LESD5D5.0CT1G,TVS_LESD5D5.0CT1G,172.2125,-79.741389,0,top
D10,LESD5D5.0CT1G,TVS_LESD5D5.0CT1G,172.2125,-77.741389,0,top
D11,LTST-C190KGKT,LEDC1608X35N,166.625,-83.225,180,top
D12,SK6812,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,163.75,-78.041389,180,top
J1,TYPE-C-31-M-12,HRO_TYPE-C-31-M-12,130,-92.9025,0,top
J2,TYPE-C-31-M-12,HRO_TYPE-C-31-M-12,180.1125,-78.091389,90,top
J3,TFTLCDC3,PinHeader_1x08_P2.54mm_Vertical,142.05,-64.251389,0,top
J4,TFTLCDS3,PinHeader_1x08_P2.54mm_Vertical,113.95,-56.54,0,top
R1,5k1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,118.65,-92.8625,-90,top
R2,5k1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,122.05,-92.9,-90,top
R3,75,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,118.8,-73.39,180,top
R4,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,120.6,-62.79,90,top
R5,5k1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,179.2625,-70.641389,0,top
R6,5k1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,179.2625,-67.641389,0,top
R7,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,151.1875,-75.641389,0,top
R8,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,151.1875,-78.141389,0,top
R9,75,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,159.35,-82.741389,0,top
R10,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,146.65,-76.741389,-90,top
R11,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,128.1875,-59.84,0,top
R12,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,132.3,-69.59,0,top
R13,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,174.85,-62.741389,0,top
R14,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,165.45,-62.641389,0,top
SW1,PTS810_SJM_250_SMTR_LFS,SW_PTS810_SJM_250_SMTR_LFS,125.725,-65.665,0,top
SW2,PTS810_SJM_250_SMTR_LFS,SW_PTS810_SJM_250_SMTR_LFS,133.725,-65.665,0,top
SW3,PTS810_SJM_250_SMTR_LFS,SW_PTS810_SJM_250_SMTR_LFS,173.925,-59.091389,180,top
SW4,PTS810_SJM_250_SMTR_LFS,SW_PTS810_SJM_250_SMTR_LFS,163.925,-59.091389,180,top
U1,AMS1117-3.3,SOT229P700X180-4N,120,-80.29,90,top
U2,ESP32-S3-WROOM-1-N16R2,XCVR_ESP32-S3-WROOM-1-N16R2,126.7,-44.64,0,top
U3,AMS1117-3.3,SOT229P700X180-4N,172.4125,-67.941389,0,top
U4,ESP32-C3-MINI-1-N4,XCVR_ESP32-C3-MINI-1-N4,152.05,-65.591389,0,top
mouse-bite-3mm-slot,VAL**,mouse-bite-3mm-slot,138.35,-72.713,90,top
