Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",127.750000,-84.140000,90.000000,top
"C2","0u1F","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",125.240000,-84.140000,90.000000,top
"C3","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",126.500000,-77.390000,0.000000,top
"C4","0u1F","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",126.425000,-80.140000,0.000000,top
"C5","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",121.350000,-86.340000,180.000000,top
"C6","1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",132.237500,-73.690000,0.000000,top
"C7","0u1F","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",118.225000,-69.640000,0.000000,top
"C8","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",117.700000,-62.740000,90.000000,top
"C9","0u1F","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",121.900000,-66.290000,90.000000,top
"C10","0u1F","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",132.287500,-71.540000,0.000000,top
"C11","22pF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",170.600000,-82.541389,-90.000000,top
"C12","22pF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",172.600000,-82.541389,-90.000000,top
"C13","0u1F","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",155.600000,-75.691389,0.000000,top
"C14","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",158.900000,-77.291389,90.000000,top
"C15","1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",155.600000,-78.691389,180.000000,top
"C16","0u1F","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",178.925000,-59.091389,-90.000000,top
"C17","0u1F","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",168.925000,-59.091389,-90.000000,top
"C18","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",163.050000,-71.016389,-90.000000,top
"C19","0u1F","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",166.050000,-71.016389,-90.000000,top
"C20","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",164.412500,-65.591389,180.000000,top
"C21","0u1F","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",164.512500,-67.841389,180.000000,top
"D1","1N5819HW-7-F","SOD3715X145N",120.550000,-89.340000,180.000000,top
